2019-12-31 10:01:39.261| main | INFO |  -  | HikariPool-1 - Starting... | [com.zaxxer.hikari.HikariDataSource:110]
2019-12-31 10:01:39.507| main | INFO |  -  | HikariPool-1 - Start completed. | [com.zaxxer.hikari.HikariDataSource:123]
2019-12-31 10:01:39.598| main | INFO |  -  | HHH000204: Processing PersistenceUnitInfo [
	name: default
	...] | [org.hibernate.jpa.internal.util.LogHelper:31]
2019-12-31 10:01:39.724| main | INFO |  -  | HHH000412: Hibernate Core {5.3.11.Final} | [org.hibernate.Version:46]
2019-12-31 10:01:39.728| main | INFO |  -  | HHH000206: hibernate.properties not found | [org.hibernate.cfg.Environment:213]
2019-12-31 10:01:40.389| main | INFO |  -  | HCANN000001: Hibernate Commons Annotations {5.0.4.Final} | [org.hibernate.annotations.common.reflection.java.JavaReflectionManager:49]
2019-12-31 10:01:40.696| main | INFO |  -  | HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect | [org.hibernate.dialect.Dialect:157]
2019-12-31 10:01:41.731| main | INFO |  -  | Initialized JPA EntityManagerFactory for persistence unit 'default' | [org.springframework.orm.jpa.AbstractEntityManagerFactoryBean:415]
2019-12-31 10:01:43.119| main | WARN |  -  | Unable to create an RSA verifier from verifierKey (ignoreable if using MAC) | [org.springframework.security.oauth2.provider.token.store.JwtAccessTokenConverter:302]
2019-12-31 10:01:43.454| main | WARN |  -  | spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning | [org.springframework.boot.autoconfigure.orm.jpa.JpaBaseConfiguration$JpaWebConfiguration$JpaWebMvcConfiguration:226]
2019-12-31 10:01:43.680| main | INFO |  -  | Exposing 2 endpoint(s) beneath base path '/actuator' | [org.springframework.boot.actuate.endpoint.web.EndpointLinksResolver:58]
2019-12-31 10:01:45.043| main | INFO |  -  | Creating filter chain: OrRequestMatcher [requestMatchers=[Ant [pattern='/oauth/token'], Ant [pattern='/oauth/token_key'], Ant [pattern='/oauth/check_token']]], [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@45fa7f1a, org.springframework.security.web.context.SecurityContextPersistenceFilter@27e688ad, org.springframework.security.web.header.HeaderWriterFilter@355c2b72, org.springframework.security.web.authentication.logout.LogoutFilter@15c900be, org.springframework.security.oauth2.provider.client.ClientCredentialsTokenEndpointFilter@3bd69a51, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@2986e26f, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@62f11904, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@72722a6b, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@74d736f8, org.springframework.security.web.session.SessionManagementFilter@5acf07e7, org.springframework.security.web.access.ExceptionTranslationFilter@66f73d3d, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@729f8c5d] | [org.springframework.security.web.DefaultSecurityFilterChain:43]
