2019-10-11 09:29:21.065| main | DEBUG |  -  | Adding type registration float -> org.hibernate.type.FloatType@39ead1b7 | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:29:21.065| main | DEBUG |  -  | Adding type registration float -> org.hibernate.type.FloatType@39ead1b7 | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:29:21.066| main | DEBUG |  -  | Adding type registration java.lang.Float -> org.hibernate.type.FloatType@39ead1b7 | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:29:21.070| main | DEBUG |  -  | Adding type registration double -> org.hibernate.type.DoubleType@662713b6 | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:29:21.071| main | DEBUG |  -  | Adding type registration double -> org.hibernate.type.DoubleType@662713b6 | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:29:21.071| main | DEBUG |  -  | Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@662713b6 | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:29:21.073| main | DEBUG |  -  | Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@3265995e | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:29:21.074| main | DEBUG |  -  | Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@3265995e | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:29:21.077| main | DEBUG |  -  | Adding type registration big_integer -> org.hibernate.type.BigIntegerType@424a152f | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:29:21.077| main | DEBUG |  -  | Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@424a152f | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:29:21.079| main | DEBUG |  -  | Adding type registration string -> org.hibernate.type.StringType@2792c28 | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:29:21.079| main | DEBUG |  -  | Adding type registration java.lang.String -> org.hibernate.type.StringType@2792c28 | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:29:21.080| main | DEBUG |  -  | Adding type registration nstring -> org.hibernate.type.StringNVarcharType@11582db6 | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:29:21.082| main | DEBUG |  -  | Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@558127d2 | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:29:21.087| main | DEBUG |  -  | Adding type registration url -> org.hibernate.type.UrlType@4e3ee457 | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:29:21.088| main | DEBUG |  -  | Adding type registration java.net.URL -> org.hibernate.type.UrlType@4e3ee457 | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:29:21.089| main | DEBUG |  -  | Adding type registration Duration -> org.hibernate.type.DurationType@1d5bb5c | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:29:21.090| main | DEBUG |  -  | Adding type registration java.time.Duration -> org.hibernate.type.DurationType@1d5bb5c | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:29:21.093| main | DEBUG |  -  | Adding type registration Instant -> org.hibernate.type.InstantType@2133b712 | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:29:21.094| main | DEBUG |  -  | Adding type registration java.time.Instant -> org.hibernate.type.InstantType@2133b712 | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:29:21.095| main | DEBUG |  -  | Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@51fb5fe6 | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:29:21.096| main | DEBUG |  -  | Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@51fb5fe6 | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:29:21.099| main | DEBUG |  -  | Adding type registration LocalDate -> org.hibernate.type.LocalDateType@227b9277 | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:29:21.099| main | DEBUG |  -  | Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@227b9277 | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:29:21.101| main | DEBUG |  -  | Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@4ebd8d2 | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:29:21.101| main | DEBUG |  -  | Adding type registration java.time.LocalTime -> org.hibernate.type.LocalTimeType@4ebd8d2 | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:29:21.103| main | DEBUG |  -  | Adding type registration OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@7e9a836 | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:29:21.103| main | DEBUG |  -  | Adding type registration java.time.OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@7e9a836 | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:29:21.106| main | DEBUG |  -  | Adding type registration OffsetTime -> org.hibernate.type.OffsetTimeType@3a69014e | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:29:21.107| main | DEBUG |  -  | Adding type registration java.time.OffsetTime -> org.hibernate.type.OffsetTimeType@3a69014e | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:29:21.111| main | DEBUG |  -  | Adding type registration ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@16e4db59 | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:29:21.112| main | DEBUG |  -  | Adding type registration java.time.ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@16e4db59 | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:29:21.116| main | DEBUG |  -  | Adding type registration date -> org.hibernate.type.DateType@4a6facb0 | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:29:21.117| main | DEBUG |  -  | Adding type registration java.sql.Date -> org.hibernate.type.DateType@4a6facb0 | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:29:21.120| main | DEBUG |  -  | Adding type registration time -> org.hibernate.type.TimeType@57b3d869 | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:29:21.121| main | DEBUG |  -  | Adding type registration java.sql.Time -> org.hibernate.type.TimeType@57b3d869 | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:29:21.125| main | DEBUG |  -  | Adding type registration timestamp -> org.hibernate.type.TimestampType@499c4d61 | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:29:21.125| main | DEBUG |  -  | Adding type registration java.sql.Timestamp -> org.hibernate.type.TimestampType@499c4d61 | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:29:21.126| main | DEBUG |  -  | Adding type registration java.util.Date -> org.hibernate.type.TimestampType@499c4d61 | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:29:21.130| main | DEBUG |  -  | Adding type registration dbtimestamp -> org.hibernate.type.DbTimestampType@2a510e0e | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:29:21.134| main | DEBUG |  -  | Adding type registration calendar -> org.hibernate.type.CalendarType@6eded11a | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:29:21.135| main | DEBUG |  -  | Adding type registration java.util.Calendar -> org.hibernate.type.CalendarType@6eded11a | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:29:21.135| main | DEBUG |  -  | Adding type registration java.util.GregorianCalendar -> org.hibernate.type.CalendarType@6eded11a | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:29:21.138| main | DEBUG |  -  | Adding type registration calendar_date -> org.hibernate.type.CalendarDateType@50e8ed74 | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:29:21.142| main | DEBUG |  -  | Adding type registration locale -> org.hibernate.type.LocaleType@45832b85 | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:29:21.142| main | DEBUG |  -  | Adding type registration java.util.Locale -> org.hibernate.type.LocaleType@45832b85 | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:29:21.145| main | DEBUG |  -  | Adding type registration currency -> org.hibernate.type.CurrencyType@b81938d | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:29:21.145| main | DEBUG |  -  | Adding type registration java.util.Currency -> org.hibernate.type.CurrencyType@b81938d | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:29:21.152| main | DEBUG |  -  | Adding type registration timezone -> org.hibernate.type.TimeZoneType@bea5941 | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:29:21.153| main | DEBUG |  -  | Adding type registration java.util.TimeZone -> org.hibernate.type.TimeZoneType@bea5941 | [org.hibernate.type.BasicTypeRegistry:156]
