2019-10-11 09:30:22.522| main | DEBUG |  -  | Adding type registration float -> org.hibernate.type.FloatType@56f61d74 | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:30:22.523| main | DEBUG |  -  | Adding type registration java.lang.Float -> org.hibernate.type.FloatType@56f61d74 | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:30:22.535| main | DEBUG |  -  | Adding type registration double -> org.hibernate.type.DoubleType@81a8898 | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:30:22.538| main | DEBUG |  -  | Adding type registration double -> org.hibernate.type.DoubleType@81a8898 | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:30:22.539| main | DEBUG |  -  | Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@81a8898 | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:30:22.542| main | DEBUG |  -  | Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@696298ea | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:30:22.543| main | DEBUG |  -  | Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@696298ea | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:30:22.545| main | DEBUG |  -  | Adding type registration big_integer -> org.hibernate.type.BigIntegerType@6d6712b7 | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:30:22.546| main | DEBUG |  -  | Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@6d6712b7 | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:30:22.548| main | DEBUG |  -  | Adding type registration string -> org.hibernate.type.StringType@19f1be04 | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:30:22.549| main | DEBUG |  -  | Adding type registration java.lang.String -> org.hibernate.type.StringType@19f1be04 | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:30:22.550| main | DEBUG |  -  | Adding type registration nstring -> org.hibernate.type.StringNVarcharType@2cacd55e | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:30:22.551| main | DEBUG |  -  | Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@3f3a6091 | [org.hibernate.type.BasicTypeRegistry:156]
